difficulty,puzzle_id,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,total_invocations,initial_vertex_count,initial_edge_count,edge_build_ns,pruned_vertex_count,pruned_edge_count,removed_vertices,pruning_time_ns,solution_count,puzzle_classification,extraction_time_ns,mask_init_time_ns,permutation_time_ns,total_time_ns
easy,19,20,104,11,453,12,3,86,28,148,85894,865,6944,144447751,9,18,856,1124241,1,Unique,7190,78691,23175230,170012207
easy,20,78,12,14,4,156,45,4,227,28,60326,568,3601,71937852,9,18,559,666318,1,Unique,7636,75721,12644139,86183983
easy,21,2,20,18,40,792,30,4,4,106,82904,1016,7545,119008718,9,18,1007,799142,1,Unique,7461,93099,17634358,138975555
easy,22,8,10,32,516,108,252,24,1,24,247038,975,26562,178264170,9,18,966,473630,1,Unique,8870,88463,18309623,198488276
easy,23,108,1,122,34,37,26,168,46,124,101611,666,11126,109660298,9,18,657,1336006,1,Unique,7575,80026,20502392,132546409
easy,24,76,72,140,2,8,1,38,35,370,113360,742,7060,115118808,9,18,733,229785,1,Unique,11582,101089,14811616,131370759
easy,25,992,28,30,26,80,14,112,24,28,214728,1334,11987,232918100,9,18,1325,8342184,1,Unique,11195,104783,20872689,264182192
easy,26,416,60,788,10,4,16,24,6,14,439748,1338,25093,289320594,9,18,1329,1959691,1,Unique,8196,84347,35444197,328629695
easy,27,8,60,38,656,68,3,20,34,12,78738,899,5117,105859508,9,18,890,730012,1,Unique,7277,81889,18188811,126092188
easy,28,81,12,12,66,34,3,40,4,642,54524,894,3672,109495711,9,18,885,206801,1,Unique,6570,84199,15290280,126316468
easy,29,13,3,60,54,16,4,108,16,24,16913,298,2186,20782182,9,18,289,176697,1,Unique,11868,83405,6694080,28291103
easy,30,144,6,8,100,2,29,12,10,68,27006,379,2571,31953793,9,18,370,129515,1,Unique,7601,364713,9580202,42672767
easy,31,5,66,23,48,56,24,10,18,28,16641,278,2698,19611713,9,18,269,148265,1,Unique,8414,76904,7166443,27491659
easy,32,6,228,17,22,228,30,4,62,60,105900,657,10690,92972905,9,18,648,5232963,1,Unique,10959,82221,15720034,114964038
easy,33,52,4,68,70,24,6,66,20,240,58736,550,5602,67953780,9,18,541,1027677,1,Unique,6686,77055,15265116,85206026
easy,34,270,78,40,64,24,24,26,56,33,79410,615,10230,86263609,9,18,606,5413706,1,Unique,7788,79520,15229243,107904297
easy,35,6,1024,36,50,204,344,20,1,8,367956,1693,16932,475400118,9,18,1684,612312,1,Unique,7686,81114,33573085,511918950
easy,36,3,78,172,78,420,4,2,30,78,113986,865,7156,155028392,9,18,856,396021,1,Unique,7382,80252,17377612,174100438
easy,37,92,12,840,6,31,20,10,8,384,445670,1403,36152,324379409,9,18,1394,4456662,1,Unique,10362,81600,21360840,352192433
easy,38,42,8,58,130,164,10,8,10,82,45076,512,4805,61246864,9,18,503,2027872,1,Unique,6566,85418,11783360,75914924
easy,39,4,16,56,8,4,232,28,128,160,94608,636,10034,90296646,9,18,627,295822,1,Unique,7921,86929,14341290,105973615
easy,40,1,24,4,6,80,5,644,132,164,234964,1060,15901,192782503,9,18,1051,1029386,1,Unique,6425,80757,18752530,214101587
easy,41,22,48,6,14,164,110,2,48,19,45690,433,4907,42815733,9,18,424,153842,1,Unique,6935,93978,10769138,54514370
easy,42,16,28,120,100,2130,48,8,2,16,400876,2468,20175,444336164,9,18,2459,904380,1,Unique,9304,85733,36031184,484568003
easy,43,16,59,5,100,46,16,92,29,5,29744,368,3607,33558200,9,18,359,278794,1,Unique,7187,86766,9300074,43861468
easy,44,4,88,2,52,108,93,192,102,18,88260,659,10127,105261928,9,18,650,872541,1,Unique,9563,84466,13761899,120921060
easy,45,2,32,48,12,32,18,88,56,36,22088,324,3552,26388109,9,18,315,172518,1,Unique,7079,81099,8776146,35945298
easy,46,1,59,376,8,4,36,2,4,2032,886517,2522,32735,597304817,9,18,2513,1107222,1,Unique,8548,87344,40784532,642562679
easy,47,142,27,27,8,30,37,48,88,1,29628,408,2696,40252010,9,18,399,342199,1,Unique,7479,78332,9319510,50626478
easy,48,66,12,138,2,5,60,14,240,190,114730,727,11991,119339213,9,18,718,395632,1,Unique,6916,79332,18953381,139786743
easy,49,30,110,2,252,120,46,9,20,17,80411,606,9525,81167601,9,18,597,946649,1,Unique,9104,82400,15287438,98387983
easy,50,328,29,4,9,12,60,12,12,80,27568,546,1700,54023353,9,18,537,346606,1,Unique,7033,80934,10784107,66044720
easy,51,68,64,4,49,6,11,68,40,60,30395,370,4295,34940022,9,18,361,238429,1,Unique,7147,83581,10509441,46406172
easy,52,4,3,11,112,204,50,46,124,108,102003,662,10800,105698198,9,18,653,665465,1,Unique,8784,79423,16349478,123759733
easy,53,54,132,8,13,2,2,22,768,184,278136,1185,13573,225322769,9,18,1176,1156275,1,Unique,8556,81789,24086718,253156171
easy,54,160,6,18,82,36,184,30,4,32,60360,552,7110,69319701,9,18,543,373749,1,Unique,7542,76538,14099801,84694378
easy,55,14,1,64,12,95,8,92,266,24,66465,576,4304,71161656,9,18,567,543410,1,Unique,6667,84478,17054173,89734478
easy,56,16,4,44,722,4,38,28,52,31,72218,939,5437,103921753,9,18,930,839272,1,Unique,7796,87169,16932612,123095613
easy,57,10,396,30,16,24,32,30,64,12,59880,614,7665,64039772,9,18,605,3337545,1,Unique,7348,84092,12335613,80704231
easy,58,30,3,14,1836,18,4,398,24,28,861250,2355,28716,611995626,9,18,2346,1725036,1,Unique,7731,84056,39652544,656507554
easy,59,24,34,8,8,12,46,94,2,34,11652,262,1552,16322815,9,18,253,262380,1,Unique,6869,88111,8066452,25197495
easy,60,12,126,12,10,28,46,112,140,3,50030,489,4499,56305635,9,18,480,473122,1,Unique,6757,88470,13597770,71206512
easy,61,20,14,8,4,4,40,168,28,192,57432,478,4577,47680629,9,18,469,206055,1,Unique,7201,85936,20601628,69300252
easy,62,10,190,8,96,60,16,20,100,28,57396,528,6915,65755286,9,18,519,1161313,1,Unique,9814,86423,12248612,80059357
easy,63,70,16,120,2,12,180,108,14,10,49816,532,4684,66627991,9,18,523,532603,1,Unique,6480,85724,12723888,81146926
easy,64,34,2,3,16,150,6,526,8,324,212090,1069,10897,214863341,9,18,1060,2057427,1,Unique,8740,84163,25373519,243899813
easy,65,194,68,4,1,1,35,6,7,200,26808,516,1995,54617205,9,18,507,115203,1,Unique,6639,83620,13759041,69331563
easy,66,102,72,32,15,24,122,4,64,42,41384,477,5382,57392080,9,18,468,3071533,1,Unique,10527,87122,12705941,74075304
easy,67,1,366,84,4,42,218,52,16,348,211458,1131,16518,276530865,9,18,1122,14679905,1,Unique,7864,93111,31982445,324830029
easy,68,144,8,36,194,412,31,58,8,1,161247,892,12754,167485518,9,18,883,616415,1,Unique,7826,79558,18189190,187609139
easy,69,50,36,104,15,5,14,68,146,6,35811,444,4469,46690833,9,18,435,658992,1,Unique,6794,87789,11223460,59345384
easy,70,14,30,96,4,16,12,48,124,42,30916,386,4426,35567941,9,18,377,252411,1,Unique,8553,87303,11583200,48139265
easy,71,12,124,42,8,14,2,19,80,31,26645,332,2637,25474977,9,18,323,204244,1,Unique,7608,89279,8858350,35180203
easy,72,69,118,232,2,136,10,61,6,20,84085,654,6861,98434840,9,18,645,2462699,1,Unique,7393,85448,21819364,123837758
easy,73,36,52,26,60,18,146,16,2,42,33208,398,4280,38220068,9,18,389,692564,1,Unique,6349,85255,10101967,49738586
easy,74,20,12,14,28,82,12,8,6,60,9412,242,1320,13918444,9,18,233,199568,1,Unique,8066,86944,6440756,21069750
easy,75,7,1,36,1658,6,100,400,4,64,894043,2276,29943,649761269,9,18,2267,2664506,1,Unique,9089,85207,44905357,700398078
easy,76,68,68,42,12,38,76,6,114,48,45856,472,6111,58247207,9,18,463,341350,1,Unique,7262,85596,13052637,72444170
easy,77,9,4,24,30,102,156,47,432,8,101623,812,9613,134181688,9,18,803,1207157,1,Unique,8274,84747,16821506,153477824
easy,78,168,118,10,624,144,10,6,14,2,250728,1096,18689,220538574,9,18,1087,3006123,1,Unique,15204,84121,22810611,247933956
easy,79,30,38,4,9,230,140,28,24,24,59412,527,4892,59953811,9,18,518,686064,1,Unique,7398,95058,10592991,72112388
easy,80,14,16,4,136,1148,18,132,132,10,393660,1610,25890,362885641,9,18,1601,3866557,1,Unique,8890,81758,28383227,397437428
easy,81,230,1,12,120,24,10,1148,486,3,1011912,2034,35687,730076883,9,18,2025,1084597,1,Unique,6919,85548,37217385,771127064
easy,82,29,22,2,4,380,18,276,1320,2,924984,2053,32232,657726887,9,18,2044,1322299,1,Unique,7068,76781,42395912,704097658
easy,83,24,90,72,124,43,84,46,7,12,53191,502,5996,63908363,9,18,493,1050874,1,Unique,7289,77633,12823612,78617315
easy,84,14,4,16,776,7,28,432,62,140,483106,1479,19324,395391526,9,18,1470,2559723,1,Unique,8498,82866,29666609,429735484
easy,85,90,2,14,10,32,4,64,88,14,20380,318,2463,25139770,9,18,309,99704,1,Unique,6967,83795,9274537,35132732
easy,86,1156,28,6,30,1,25,14,8,10,92613,1278,5635,88020521,9,18,1269,370443,1,Unique,7387,82088,27776885,118027158
easy,87,2,30,10,24,108,54,31,268,16,65834,543,7098,62064853,9,18,534,776617,1,Unique,7319,79271,13186311,76923935
easy,88,390,112,4,188,134,18,34,14,3,188858,897,14234,173227721,9,18,888,1137731,1,Unique,9309,87062,18602712,194295754
easy,89,4,76,50,240,270,18,94,58,48,159680,858,11929,172320894,9,18,849,7861662,1,Unique,13556,78129,25754416,207225434
easy,90,8,18,150,10,8,72,120,1,370,145660,757,10017,117326573,9,18,748,280915,1,Unique,7353,81981,18823527,137604861
easy,91,40,34,48,62,24,830,4,56,18,141680,1116,10566,162174468,9,18,1107,4489718,1,Unique,8676,80643,19278571,187582189
easy,92,24,168,112,12,39,9,160,6,60,59493,590,5096,82090575,9,18,581,3068961,1,Unique,7429,80375,13032847,99139277
easy,93,8,6,48,172,16,75,3,12,140,42804,480,4331,51220088,9,18,471,263990,1,Unique,9178,86646,14418524,66754222
easy,94,618,4,1,168,112,46,480,40,2,541362,1471,30650,434042512,9,18,1462,3405848,1,Unique,9566,88075,29972375,469480310
easy,95,1596,12,150,24,9,12,4,107,30,318521,1944,10009,344148262,9,18,1935,2901152,1,Unique,7796,78598,37454454,387189224
easy,96,8,92,45,80,18,64,10,16,14,22814,347,3082,29538591,9,18,338,150960,1,Unique,7037,82506,7896855,38230084
easy,97,11,32,14,8,71,8,37,227,213,98027,621,9021,83879926,9,18,612,202610,1,Unique,7243,84626,13940202,99080757
easy,98,6,66,10,124,19,10,14,29,128,19755,406,2680,37770062,9,18,397,331306,1,Unique,7404,90755,11834990,50658993
easy,99,256,372,936,32,6,8,3,4,15,718101,1632,48281,447103424,9,18,1623,2288383,1,Unique,9777,84315,30593209,482253705
medium,0,6,8,10,72,248,250,32,28,1,113840,655,11778,88827246,9,18,646,2109008,1,Unique,9666,84481,14187716,106210069
medium,1,218,164,56,3,7,17,4,6,36,65011,511,6425,54278349,9,18,502,501505,1,Unique,9363,87922,11048502,66705659
medium,2,24,660,600,28,21,2,35,1,19,457316,1390,14736,336008630,9,18,1381,3561335,1,Unique,8818,93174,24370507,365962515
medium,3,17,4,44,40,4,56,116,14,2776,653604,3071,45733,499132514,9,18,3062,7654471,1,Unique,11099,84762,41889850,552763921
medium,4,8,2,70,4,12,12,94,452,56,86964,710,7293,84385171,9,18,701,382480,1,Unique,7168,87989,15145380,101023811
medium,5,134,1,12,90,148,5,420,62,8,161882,880,13393,162534831,9,18,871,1704045,1,Unique,8409,84960,20959635,186549448
medium,6,1012,72,32,40,47,68,1,10,12,164972,1294,9680,187826656,9,18,1285,1616244,1,Unique,10717,81648,25652219,217140216
medium,7,22,7,168,116,4,23,6,10,83,32873,439,3376,44679807,9,18,430,384519,1,Unique,7222,149737,10640035,56565936
medium,8,20,36,38,28,195,18,88,20,8,32502,451,3574,45829092,9,18,442,1384778,1,Unique,7315,91363,10846847,58851807
medium,9,4,8,542,46,17,208,16,124,4,142922,969,5695,172013531,9,18,960,852178,1,Unique,8707,86865,19095101,193414622
medium,10,184,1508,40,76,7,1,8,13,25,393776,1862,25464,331077450,9,18,1853,1066682,1,Unique,12073,91442,30328635,365081755
medium,11,120,28,14,362,14,12,164,80,28,162100,822,16115,145241496,9,18,813,11681902,1,Unique,9555,83066,18721618,176885421
medium,12,20,310,82,11,8,3,204,92,16,96795,746,8901,122770561,9,18,737,987629,1,Unique,9035,82313,17556066,142534998
medium,13,96,11,26,284,76,28,4,96,7,75664,628,6227,86419491,9,18,619,961153,1,Unique,8896,88502,14692538,103109287
medium,14,24,4,18,384,24,302,196,8,186,327004,1146,29058,297626238,9,18,1137,4268578,1,Unique,9925,88574,25409059,328987925
medium,15,38,280,80,10,18,60,3,12,11,53621,512,5110,51671476,9,18,503,429307,1,Unique,7534,85738,13855845,67128320
medium,16,33,30,28,16,4,32,49,18,40,13977,250,2139,16174154,9,18,241,297075,1,Unique,7072,89809,7333881,24325088
medium,17,64,3,24,46,175,2,334,148,246,251293,1042,22191,250599464,9,18,1033,1760673,1,Unique,8156,80360,25789175,279747701
medium,18,24,10,120,12,11,48,4,22,42,20556,293,2777,19493935,9,18,284,439075,1,Unique,5986,95358,6674364,27155717
medium,19,48,12,164,25,18,36,53,7,24,30424,387,3312,33852630,9,18,378,1013095,1,Unique,5580,84561,8263942,43779107
medium,20,52,2,12,8,32,42,190,134,11,49246,483,3275,52287755,9,18,474,188498,1,Unique,6852,81164,9493179,62841739
medium,21,106,12,178,25,48,1,7,1783,8,163083,2168,5957,427890270,9,18,2159,2753933,1,Unique,10867,82053,37444931,471258558
medium,22,18,42,180,13,6,44,12,30,34,32092,379,4493,31210602,9,18,370,466302,1,Unique,7330,79030,8377717,40712203
medium,23,48,40,402,456,58,12,20,16,12,116312,1064,11140,224669987,9,18,1055,15654985,1,Unique,8172,85300,29531325,272187868
medium,24,30,28,12,24,10,60,48,17,236,41922,465,4108,47379244,9,18,456,793361,1,Unique,6820,80847,10479370,59498910
medium,25,172,16,24,198,14,4,28,540,1,87536,997,5567,185512118,9,18,988,513750,1,Unique,7369,84967,20829082,208628969
medium,26,184,112,3,17,28,143,194,16,32,90830,729,7026,125996492,9,18,720,1972215,1,Unique,6573,78534,20260842,149361639
medium,27,54,2,8,2,5,148,40,90,116,42550,465,3752,49145929,9,18,456,298755,1,Unique,6638,84478,12514187,62710815
medium,28,316,8,14,22,25,6,60,148,22,54192,621,5343,74801925,9,18,612,500698,1,Unique,6945,83747,13501722,89757090
medium,29,30,46,34,14,10,14,10,147,4,16758,309,2291,21555873,9,18,300,251608,1,Unique,7602,86127,6655957,29295526
medium,30,18,28,48,180,204,138,13,3,42,119793,674,11047,106839501,9,18,665,1143884,1,Unique,6716,82474,17183268,126206532
medium,31,296,50,10,16,2,123,20,160,1,44645,678,2850,96704072,9,18,669,222317,1,Unique,9536,81928,17592327,115568611
medium,32,58,3,18,65,14,336,51,15,31,58899,591,5734,66466950,9,18,582,457290,1,Unique,6883,80022,11917408,79772967
medium,33,165,6,26,82,8,4,16,22,16,25834,345,2755,24784164,9,18,336,228254,1,Unique,6314,86202,8760778,34374410
medium,34,14,14,32,14,35,96,186,6,44,30742,441,3916,46513635,9,18,432,579798,1,Unique,6609,83370,10189892,58228399
medium,35,6,36,33,741,116,16,10,35,25,125910,1018,9427,136509535,9,18,1009,2467663,1,Unique,13116,82936,21163233,161719335
medium,36,212,10,4,56,264,24,10,62,8,61168,650,5551,86344615,9,18,641,643013,1,Unique,6394,137832,14488954,102552146
medium,37,118,25,42,8,384,10,26,20,33,42122,666,4529,79689284,9,18,657,917254,1,Unique,6810,76384,15484943,97113138
medium,38,20,48,42,8,6,40,132,34,172,59228,502,7326,58946097,9,18,493,2040769,1,Unique,6079,81625,15848106,77649114
medium,39,304,3,10,72,720,26,4,10,58,112396,1207,8079,237493816,9,18,1198,1251465,1,Unique,7120,83261,31109714,271574806
medium,40,17,7,364,21,123,11,12,104,47,56545,706,5452,99196813,9,18,697,958266,1,Unique,7280,76971,17715362,119355749
medium,41,7,22,4,12,82,20,2788,6,208,661570,3149,20081,602110233,9,18,3140,10258721,1,Unique,10325,81594,49160280,665566669
medium,42,94,394,32,30,6,2,96,45,12,94476,711,9186,97650896,9,18,702,478915,1,Unique,8979,86903,14419023,113749280
medium,43,3,10,5,132,1014,266,51,7,7,467358,1495,34425,326255549,9,18,1486,4649070,1,Unique,20097,97368,26257202,359306948
medium,44,2,4,30,50,61,62,120,31,30,31589,390,3551,38396491,9,18,381,558849,1,Unique,7526,85806,12879671,52554729
medium,45,4,1,192,6,13,100,10,46,488,193207,860,16538,141351845,9,18,851,2236072,1,Unique,8991,86114,19428781,164299520
medium,46,24,56,68,60,12,4,30,138,7,27900,399,3043,40240601,9,18,390,900679,1,Unique,6412,89311,13829440,55696046
medium,47,36,1,66,44,16,66,192,19,40,46149,480,5474,55521819,9,18,471,838091,1,Unique,6833,82344,14166880,71334408
medium,48,8,4,6,64,70,30,60,54,21,24282,317,3631,25542851,9,18,308,989375,1,Unique,8139,96882,13509880,40637032
medium,49,26,62,3,3,4,6,36,544,72,101214,756,8222,77810831,9,18,747,749841,1,Unique,6896,89081,16152637,95877954
medium,50,11,12,18,6,2,15,10,36,448,37464,558,2778,31187486,9,18,549,183305,1,Unique,5478,82785,9847167,42066138
medium,51,4,80,18,186,32,18,16,88,112,45320,554,5190,72027353,9,18,545,303878,1,Unique,6688,78163,14268560,87467156
medium,52,2,44,59,576,258,20,14,8,22,194616,1003,15200,175263853,9,18,994,1842392,1,Unique,7325,82534,17871350,196429522
medium,53,60,5,26,10,32,188,4,4,86,35390,415,4245,37191745,9,18,406,311748,1,Unique,6066,83769,9230512,47450893
medium,54,44,4,34,40,42,7,38,768,108,165408,1085,11995,171248554,9,18,1076,871941,1,Unique,7493,84336,18873542,192571860
medium,55,6,16,7,6,694,30,28,32,184,78564,1003,6141,137315679,9,18,994,646479,1,Unique,6157,85339,17472603,156863406
medium,56,5,26,64,120,38,120,6,4,52,46020,435,5769,44991573,9,18,426,378830,1,Unique,6649,78125,17283110,63369079
medium,57,14,10,21,20,179,69,84,116,36,66438,549,6129,71200402,9,18,540,1036272,1,Unique,6799,85472,12554538,85653832
medium,58,88,2,2,186,54,26,50,106,17,61232,531,7924,65258399,9,18,522,1080511,1,Unique,6891,82436,12137853,79335077
medium,59,32,4,434,6,72,42,468,22,4,71784,1084,4241,216020278,9,18,1075,1435513,1,Unique,6966,86521,30930881,249924149
medium,60,19,344,160,6,164,248,6,60,4,236856,1011,19659,228388507,9,18,1002,4455381,1,Unique,9428,75597,20863225,255203192
medium,61,48,8,70,111,16,62,6,36,604,130880,961,8978,152298521,9,18,952,14339412,1,Unique,8433,84329,21160675,189214676
medium,62,116,2,216,38,12,142,60,33,17,87729,636,8289,92774644,9,18,627,674640,1,Unique,9674,75006,14517146,108982323
medium,63,94,25,30,4,8,124,12,46,612,144726,955,10165,148337496,9,18,946,1856635,1,Unique,7149,77435,19993943,171530862
medium,64,62,18,64,1,25,20,444,196,284,337613,1114,27779,258665542,9,18,1105,4805222,1,Unique,8528,79033,20856917,285886936
medium,65,8,87,4,276,148,6,116,42,12,109278,699,7888,109719786,9,18,690,743351,1,Unique,7270,80134,16145233,127677422
medium,66,11,18,120,144,36,836,2,40,80,344284,1287,26668,255129480,9,18,1278,3626440,1,Unique,8643,82125,22583248,283189489
medium,67,10,46,15,108,110,37,5,936,15,194122,1282,10784,209790348,9,18,1273,953090,1,Unique,7178,77531,19749299,232248042
medium,68,18,32,8,81,80,9,74,70,27,37688,399,4924,39677482,9,18,390,2097303,1,Unique,8133,79263,10456271,52982381
medium,69,96,133,55,168,23,11,8,2,107,61692,603,5347,85024559,9,18,594,2744749,1,Unique,6552,82880,12594219,101329965
medium,70,18,97,12,8,252,76,14,12,32,58770,521,5425,56659346,9,18,512,1666015,1,Unique,6326,100881,12334234,71510465
medium,71,14,1,24,3,130,46,162,11,18,18509,409,1856,35566388,9,18,400,116629,1,Unique,6665,86921,10678649,47058080
medium,72,8,6,4,30,26,18,20,70,192,28264,374,3512,28735600,9,18,365,395926,1,Unique,6474,86114,7907287,37690161
medium,73,7,68,4,230,50,8,14,814,24,150484,1219,12730,222232977,9,18,1210,2369429,1,Unique,9292,83925,21395090,247719243
medium,74,45,3,7,20,1,7,30,56,432,48644,601,3738,49844056,9,18,592,175182,1,Unique,6601,88063,11964947,62937913
medium,75,66,20,564,10,2,292,58,2,132,344216,1146,30435,251241079,9,18,1137,1228794,1,Unique,8766,85968,23757923,277841178
medium,76,36,16,134,18,18,71,6,372,30,53568,701,6275,104072073,9,18,692,4509694,1,Unique,6715,82019,13825073,123518854
medium,77,144,8,48,6,14,66,26,272,66,58144,650,5608,93985226,9,18,641,809282,1,Unique,6887,79972,15300937,111402555
medium,78,136,178,44,42,60,50,24,6,252,101328,792,10263,147098043,9,18,783,6581121,1,Unique,7206,82152,18771647,173638719
medium,79,9,192,26,2,38,8,12,280,524,253588,1091,17581,236629691,9,18,1082,1624107,1,Unique,8435,80977,21358562,261534440
medium,80,8,8,14,14,84,28,24,114,72,32096,366,3805,31610249,9,18,357,1035572,1,Unique,8362,81624,9179840,42482946
medium,81,20,3,4,44,28,83,18,134,150,52224,484,4735,53155907,9,18,475,348613,1,Unique,9160,85974,12241538,66576430
medium,82,14,84,105,30,14,12,24,20,60,28426,363,3398,31716723,9,18,354,1066612,1,Unique,7884,89094,8590071,42008880
medium,83,168,8,664,68,70,4,120,15,4,172662,1121,9017,217132794,9,18,1112,583075,1,Unique,6902,82996,23809052,243117184
medium,84,40,32,8,14,92,3,48,4,24,11782,265,1855,18731485,9,18,256,125776,1,Unique,8140,85474,6448362,25881495
medium,85,12,58,116,12,40,38,120,20,40,37144,456,5137,53782361,9,18,447,322393,1,Unique,8284,88290,13302692,68188182
medium,86,7,163,16,8,56,28,13,96,25,42025,412,5213,38671808,9,18,403,352911,1,Unique,8707,82114,12214390,51947065
medium,87,30,50,5,24,11,79,62,104,72,40734,437,4636,47554407,9,18,428,508024,1,Unique,8128,82415,9579286,58369127
medium,88,116,1,2,8,524,99,312,466,16,501654,1544,19984,500123525,9,18,1535,4125164,1,Unique,12863,84280,35394131,541899944
medium,89,688,1,19,236,10,80,188,2,56,390011,1280,31686,304079943,9,18,1271,1975386,1,Unique,8416,131266,29937412,337837259
medium,90,10,9,6,50,7,32,96,32,180,42357,422,4792,39246497,9,18,413,360709,1,Unique,6444,81670,10462010,50784204
medium,91,92,37,6,60,84,38,30,17,194,48327,558,5099,73965735,9,18,549,1608762,1,Unique,6495,86957,12605485,89069570
medium,92,28,318,16,25,20,30,4,20,6,31302,467,3320,34068510,9,18,458,488963,1,Unique,7725,85957,8768538,44135399
medium,93,102,176,4,292,72,4,30,4,4,97116,688,10335,99859557,9,18,679,1055193,1,Unique,7390,88760,13619558,115662854
medium,94,102,28,11,76,8,8,50,162,22,41544,467,4204,51188246,9,18,458,346003,1,Unique,7909,83634,11552310,63855739
medium,95,80,26,14,50,140,4,38,38,32,34720,422,4094,43194149,9,18,413,787653,1,Unique,7309,83363,10841415,55541759
medium,96,112,50,12,136,76,18,7,23,16,46699,450,3703,59487062,9,18,441,352008,1,Unique,7266,84742,11273423,71990321
medium,97,90,24,40,5,14,14,10,25,100,19452,322,2412,24422035,9,18,313,588807,1,Unique,7829,114920,8590111,34230426
medium,98,2,2,52,19,52,76,32,396,20,56538,651,4571,73616955,9,18,642,328091,1,Unique,6605,83207,12672634,87602288
medium,99,14,274,36,200,7,12,628,2,21,173686,1194,7434,261239372,9,18,1185,707175,1,Unique,7067,83856,24688411,288320049
hard,0,50,10,3,118,18,40,112,32,10,39610,393,4899,36095171,9,18,384,797890,1,Unique,7203,79863,10603098,48155867
hard,1,102,8,105,30,48,48,62,6,8,36694,417,4654,42361598,9,18,408,680935,1,Unique,6338,83587,10383046,54121448
hard,2,92,4,118,32,12,24,18,212,47,45884,559,4697,70932667,9,18,550,1300531,1,Unique,6696,82262,12211042,85314780
hard,3,40,8,86,6,44,18,88,4,112,34312,406,3009,39151483,9,18,397,1041932,1,Unique,5648,84899,9022693,49894489
hard,4,16,2,15,68,100,22,56,110,24,39372,413,4396,41234922,9,18,404,888476,1,Unique,7552,84621,10758251,53603655
hard,5,86,215,7,6,78,13,24,166,52,105284,647,8907,96727741,9,18,638,2187240,1,Unique,6640,85941,13710772,113621847
hard,6,26,40,7,2,28,144,62,4,166,46336,479,2458,51365605,9,18,470,402161,1,Unique,6687,86266,12814146,65399719
hard,7,308,32,60,2,47,28,32,7,138,63745,654,6166,92533231,9,18,645,1305103,1,Unique,7305,92645,18283007,113218721
hard,8,17,17,40,52,108,32,96,6,108,43127,476,4899,53867158,9,18,467,3857305,1,Unique,6519,81631,10685589,69178661
hard,9,20,50,40,18,6,6,128,42,44,27048,354,3897,30188816,9,18,345,551844,1,Unique,6034,82627,8104085,39452510
