difficulty,puzzle_id,mask_init_ns,permutation_ns,edge_build_ns,pruning_ns,extraction_ns,total_time_ns
easy,80,81758,28383227,362885641,3866557,8890,397437428
easy,81,85548,37217385,730076883,1084597,6919,771127064
easy,82,76781,42395912,657726887,1322299,7068,704097658
easy,83,77633,12823612,63908363,1050874,7289,78617315
easy,84,82866,29666609,395391526,2559723,8498,429735484
easy,85,83795,9274537,25139770,99704,6967,35132732
easy,86,82088,27776885,88020521,370443,7387,118027158
easy,87,79271,13186311,62064853,776617,7319,76923935
easy,88,87062,18602712,173227721,1137731,9309,194295754
easy,89,78129,25754416,172320894,7861662,13556,207225434
easy,90,81981,18823527,117326573,280915,7353,137604861
easy,91,80643,19278571,162174468,4489718,8676,187582189
easy,92,80375,13032847,82090575,3068961,7429,99139277
easy,93,86646,14418524,51220088,263990,9178,66754222
easy,94,88075,29972375,434042512,3405848,9566,469480310
easy,95,78598,37454454,344148262,2901152,7796,387189224
easy,96,82506,7896855,29538591,150960,7037,38230084
easy,97,84626,13940202,83879926,202610,7243,99080757
easy,98,90755,11834990,37770062,331306,7404,50658993
easy,99,84315,30593209,447103424,2288383,9777,482253705
medium,0,84481,14187716,88827246,2109008,9666,106210069
medium,1,87922,11048502,54278349,501505,9363,66705659
medium,2,93174,24370507,336008630,3561335,8818,365962515
medium,3,84762,41889850,499132514,7654471,11099,552763921
medium,4,87989,15145380,84385171,382480,7168,101023811
medium,5,84960,20959635,162534831,1704045,8409,186549448
medium,6,81648,25652219,187826656,1616244,10717,217140216
medium,7,149737,10640035,44679807,384519,7222,56565936
medium,8,91363,10846847,45829092,1384778,7315,58851807
medium,9,86865,19095101,172013531,852178,8707,193414622
medium,10,91442,30328635,331077450,1066682,12073,365081755
medium,11,83066,18721618,145241496,11681902,9555,176885421
medium,12,82313,17556066,122770561,987629,9035,142534998
medium,13,88502,14692538,86419491,961153,8896,103109287
medium,14,88574,25409059,297626238,4268578,9925,328987925
medium,15,85738,13855845,51671476,429307,7534,67128320
medium,16,89809,7333881,16174154,297075,7072,24325088
medium,17,80360,25789175,250599464,1760673,8156,279747701
medium,18,95358,6674364,19493935,439075,5986,27155717
medium,19,84561,8263942,33852630,1013095,5580,43779107
medium,20,81164,9493179,52287755,188498,6852,62841739
medium,21,82053,37444931,427890270,2753933,10867,471258558
medium,22,79030,8377717,31210602,466302,7330,40712203
medium,23,85300,29531325,224669987,15654985,8172,272187868
medium,24,80847,10479370,47379244,793361,6820,59498910
medium,25,84967,20829082,185512118,513750,7369,208628969
medium,26,78534,20260842,125996492,1972215,6573,149361639
medium,27,84478,12514187,49145929,298755,6638,62710815
medium,28,83747,13501722,74801925,500698,6945,89757090
medium,29,86127,6655957,21555873,251608,7602,29295526
medium,30,82474,17183268,106839501,1143884,6716,126206532
medium,31,81928,17592327,96704072,222317,9536,115568611
medium,32,80022,11917408,66466950,457290,6883,79772967
medium,33,86202,8760778,24784164,228254,6314,34374410
medium,34,83370,10189892,46513635,579798,6609,58228399
medium,35,82936,21163233,136509535,2467663,13116,161719335
medium,36,137832,14488954,86344615,643013,6394,102552146
medium,37,76384,15484943,79689284,917254,6810,97113138
medium,38,81625,15848106,58946097,2040769,6079,77649114
medium,39,83261,31109714,237493816,1251465,7120,271574806
medium,40,76971,17715362,99196813,958266,7280,119355749
medium,41,81594,49160280,602110233,10258721,10325,665566669
medium,42,86903,14419023,97650896,478915,8979,113749280
medium,43,97368,26257202,326255549,4649070,20097,359306948
medium,44,85806,12879671,38396491,558849,7526,52554729
medium,45,86114,19428781,141351845,2236072,8991,164299520
medium,46,89311,13829440,40240601,900679,6412,55696046
medium,47,82344,14166880,55521819,838091,6833,71334408
medium,48,96882,13509880,25542851,989375,8139,40637032
medium,49,89081,16152637,77810831,749841,6896,95877954
medium,50,82785,9847167,31187486,183305,5478,42066138
